game_id,name
41,Iniesta
51,Alan Shearer
240,Roy Keane
246,Paul Scholes
330,Robbie Keane
570,Jay-Jay Okocha
1025,Rui Costa
1041,Javier Zanetti
1088,Alessandro Nesta
1114,Roberto Baggio
1179,Gianluigi Buffon
1238,Francesco Totti
1551,Ludovic Giuly
1605,Robert Pirès
1615,Lilian Thuram
1620,Emmanuel Petit
1625,Thierry Henry
1845,Ole Gunnar Solskjær
4231,Rivaldo
4833,Hristo Stoichkov
5003,Cafu
5661,Fernando Morientes
5740,Jaap Stam
6975,Freddie Ljungberg
7289,Rio Ferdinand
7763,Andrea Pirlo
8473,Tomáš Rosický
9676,Samuel Eto&#x27;o
10264,Ruud van Nistelrooy
10535,Xavi
13128,Andriy Shevchenko
16254,A. Carreras Himourana
16619,Iván Córdoba
19541,Gerrit Minissale
20289,Yaya Touré
20801,Cosimo
25924,Capdevila
26709,Rafael Márquez
27251,Ezequiel Fang Hao
27252,A. Martin Fang J.Q.
27253,A. Martín Fang Jingqi
27254,A. Marí Fangze
27263,A. Moleiro Maathai
27264,A. Medina Maatsen
27265,A. Millán Maayan
27266,A. Mingueza Maša
28130,Ronaldinho
30110,Dimitar Berbatov
40898,Sidney Govou
41236,Zlatan Ibrahimović
53302,Daniele De Rossi
54050,Wayne Rooney
69956,Matías Julián Lothar
69957,Johnny Cardoso Ekaette
69960,Hou J.R. Cox
69962,Emanuel De Los Santos
69963,Ahadme Alama
69965,Makan Winkle Matsumoto
69967,Isaac Romero
69979,Targett Raúl De Tomás
69986,Raonaid Mesías
69987,Qasim Oxana
69988,Gustavo Cazonatti
69992,Melgarejo Lobete
69996,Aurel Platret
69997,Arshakuni Avelino
70004,Senny Mayulu
70005,Anto Berardi
70006,Mickel Bechikh
70007,Selene Andrade
70011,Warneryd Fertoli
70012,Nailton Suzuki Russell
70014,Durval Murilo Yngvild
70015,Nampalys Wasbauer
70017,Gary Waota
70018,Claudia I. Lima Correia
70020,Marian Amzăr
70022,Quanbo Lokotsch
70025,Sealy Bailly
70026,Choi Hyun Woung Asdghig
70029,Jid Nordtveit
70030,Jeno Adebola
70035,McDonald Gómez Oliver
70037,Fishel Nóel
70038,Wang Sh.Y. Dzhumalieva
70045,Isolde Monoldorov
70049,Kenneth Soler Montoro
70053,Oliveira de Araujo Mikeltadze
70055,Vriends
70063,Bagheria Božena
70066,Frendrup Sha
70068,Graafland Della Rovere
70069,Cataldi Halle
70074,Kayikci S. Darder
70077,Mechele van der Horst
70084,Alex Dodd
70087,Marrugo Kyu hyun
70091,Dagbjartsdóttir Laurin
70092,Ladumdžija Perisan
70096,Ould Hocine Zanka
70103,Angeli Cansinos
70104,Rashmi Folami
70105,Fei Ernanduo Baïla
70106,Shavy Babicka
70107,Rashmi Vertessen
70108,Audenirton Vladyslav
70109,Jeffry Eun Jung
70110,Luther Cristian
70111,Vilaça Teixeira Melkamu
70112,Adyn Tayyip
70114,Awate Hartin
70115,Emőke
70117,Hottmann Jamila
70118,Jesús Bueno Feng Zhuoyi
70119,Novikov Kvaratskhelia
70124,João Cancelo López Andúgar
70125,Warneryd Boco
70129,Grivosti Lodeiro
70136,Ahadme Bragstad
70137,Jonson Juanto Ortuño
70138,Florián Rakneberg
70140,Iker Aldai Laci
70144,Draw Character 3 Ruward
70145,Mijit Strahinja
70147,Ephraim Mendis
70149,Schneuwly Fourlanos
70155,Stefan Gundula
70160,Sveinsson Watkowiak
70162,McEleney Gian Franco
70163,Liuyu Haladar
70164,Tambudzai Baš
70166,Tymur Gyula
70170,Joca
70177,Ayana Gökhan
70182,Lanka N.Amrabat
70183,Aitor Mañas
70185,Daniella He Yupeng
70186,Alicia-Sophie Emin
70187,Chiricheș Hudlin
70188,Musthafa Crockford
70191,Tae Wook David Costa
70192,Hammarlund Mario Gaspar
70193,Alejandra Bernabé Tobar
70194,L. Ramazani Gideon
70195,Ao Matsenko
70197,Mamat Medranda
70198,Liu Haofan Havard
70199,Flagellat Cuiza
70203,Kartum Valerio
70208,Jonjić Ušaj
70209,Johanne Magallanes
70212,Rubina Perraud
70214,Wawrzyniak Monique
70216,Groenen Alminho Boas
70219,Kendji Wagatsuma Sip
70220,Dajaku Kanya
70222,Velizar-Iliya Florim
70228,Jeno Gabdullina
70229,J. Cuellar María Miralles
70230,Lazăr O. Campos
70235,Cundy Chabod
70236,Leguizamón Galina
70237,Nartey Cartier
70240,Buitendijik Ersoy
70241,Eleonora Bucchi
70247,Maiti Frigerio
70249,Bontle Buljan
70251,Andreea Martinkus
70252,Roerslev Ghjuvanni
70253,Arboleda Zhanar
70264,Risa
70265,Aldair Porto
70267,Daniella Ciubăncan
70268,Zimarino Ballas
70269,Abdul Rachid Ayindé
70271,Mickel Shuhail
70273,Abdukadirova Ohio
70275,Jihyun Sisenando
70277,Amatucci Kweon Han Jin
70279,Marina Martí Samper Montañá
70281,Desábato Mendes Mendes
70283,Dickie
70289,Seedorf
70291,Seonghyeok Rangsei
70295,Hemia Kadowaki
70297,Ndenge Meerveld
70298,Joanne
70301,Ollila
70305,J. Chalá Jiegei
70308,Ha Jeong Woo Andrade Lima
70309,Baumgartner Flavius
70312,Mickel Bate
70319,Jesús Bueno Bizzarri
70321,Cupido Gonçalves Puja
70327,Okay Dervla
70328,Shervashidze Gnamien
70330,Alexandria Vegard
70331,Amond Bosselmann
70332,Pseftis Brajan
70333,Gijselhart Park Sang Young
70334,Janice Quitirna Junior
70335,Lisa Rudoni
70344,Addison Bocat
70345,Fer Pérez
